source_csv,window_index,true_class,keras_pred,float_tflite_pred,int8_pred,keras_confidence,float_confidence,int8_confidence
mechanical_looseness_40_20260820_170143.csv,3,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999988079071045,0.9999988079071045,0.99609375
mechanical_looseness_40_20260820_170143.csv,4,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9994254112243652,0.9994254112243652,0.99609375
mechanical_looseness_40_20260820_170143.csv,5,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9978249073028564,0.9978249073028564,0.99609375
mechanical_looseness_40_20260820_170143.csv,6,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9979912042617798,0.9979912042617798,0.99609375
mechanical_looseness_40_20260820_170143.csv,7,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9987119436264038,0.9987119436264038,0.99609375
mechanical_looseness_40_20260820_170143.csv,8,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9980510473251343,0.9980510473251343,0.99609375
mechanical_looseness_40_20260820_170143.csv,9,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.998021125793457,0.998021125793457,0.99609375
mechanical_looseness_40_20260820_170143.csv,10,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9986679553985596,0.9986679553985596,0.99609375
mechanical_looseness_40_20260820_170143.csv,11,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9979326725006104,0.9979326725006104,0.99609375
mechanical_looseness_40_20260820_170143.csv,12,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9976330995559692,0.9976330995559692,0.99609375
mechanical_looseness_40_20260820_170143.csv,13,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9976794123649597,0.9976794123649597,0.99609375
mechanical_looseness_40_20260820_170143.csv,14,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9973008036613464,0.9973008036613464,0.99609375
mechanical_looseness_60_20260820_170815.csv,0,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999762773513794,0.9999762773513794,0.99609375
mechanical_looseness_60_20260820_170815.csv,1,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999755620956421,0.9999755620956421,0.99609375
mechanical_looseness_60_20260820_170815.csv,2,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999268054962158,0.9999268054962158,0.99609375
mechanical_looseness_60_20260820_170815.csv,3,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999818801879883,0.9999818801879883,0.99609375
mechanical_looseness_60_20260820_170815.csv,4,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999208450317383,0.9999208450317383,0.99609375
mechanical_looseness_60_20260820_170815.csv,5,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.999889612197876,0.999889612197876,0.99609375
mechanical_looseness_60_20260820_170815.csv,6,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999897480010986,0.9999897480010986,0.99609375
mechanical_looseness_60_20260820_170815.csv,7,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999079704284668,0.9999079704284668,0.99609375
mechanical_looseness_60_20260820_170815.csv,8,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999018907546997,0.9999018907546997,0.99609375
mechanical_looseness_60_20260820_170815.csv,9,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999805688858032,0.9999805688858032,0.99609375
mechanical_looseness_60_20260820_170815.csv,10,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999493360519409,0.9999493360519409,0.99609375
mechanical_looseness_60_20260820_170815.csv,11,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999737739562988,0.9999737739562988,0.99609375
mechanical_looseness_60_20260820_170815.csv,12,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.999956488609314,0.999956488609314,0.99609375
mechanical_looseness_60_20260820_170815.csv,13,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9997251629829407,0.9997251629829407,0.99609375
mechanical_looseness_60_20260820_170815.csv,14,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9998886585235596,0.9998886585235596,0.99609375
mechanical_looseness_60_20260820_171323.csv,0,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999630451202393,0.9999630451202393,0.99609375
mechanical_looseness_60_20260820_171323.csv,1,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999986886978149,0.9999986886978149,0.99609375
mechanical_looseness_60_20260820_171323.csv,2,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999873638153076,0.9999873638153076,0.99609375
mechanical_looseness_60_20260820_171323.csv,3,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999188184738159,0.9999188184738159,0.99609375
mechanical_looseness_60_20260820_171323.csv,4,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999991655349731,0.9999991655349731,0.99609375
mechanical_looseness_60_20260820_171323.csv,5,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999562501907349,0.9999562501907349,0.99609375
mechanical_looseness_60_20260820_171323.csv,6,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999613761901855,0.9999613761901855,0.99609375
mechanical_looseness_60_20260820_171323.csv,7,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9998053908348083,0.9998053908348083,0.99609375
mechanical_looseness_60_20260820_171323.csv,8,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999722242355347,0.9999722242355347,0.99609375
mechanical_looseness_60_20260820_171323.csv,9,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999958276748657,0.9999958276748657,0.99609375
mechanical_looseness_60_20260820_171323.csv,10,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999449253082275,0.9999449253082275,0.99609375
mechanical_looseness_60_20260820_171323.csv,11,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9998607635498047,0.9998607635498047,0.99609375
mechanical_looseness_60_20260820_171323.csv,12,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9996516704559326,0.9996516704559326,0.99609375
mechanical_looseness_60_20260820_171323.csv,13,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999192953109741,0.9999192953109741,0.99609375
mechanical_looseness_60_20260820_171323.csv,14,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999741315841675,0.9999741315841675,0.99609375
mechanical_looseness_60_20260820_172224.csv,0,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999990463256836,0.9999990463256836,0.99609375
mechanical_looseness_60_20260820_172224.csv,1,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999966621398926,0.9999966621398926,0.99609375
mechanical_looseness_60_20260820_172224.csv,2,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999985694885254,0.9999985694885254,0.99609375
mechanical_looseness_60_20260820_172224.csv,3,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999932050704956,0.9999932050704956,0.99609375
mechanical_looseness_60_20260820_172224.csv,4,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.999997615814209,0.999997615814209,0.99609375
mechanical_looseness_60_20260820_172224.csv,5,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999980926513672,0.9999980926513672,0.99609375
mechanical_looseness_60_20260820_172224.csv,6,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999903440475464,0.9999903440475464,0.99609375
mechanical_looseness_60_20260820_172224.csv,7,mechanical_looseness,mechanical_looseness,mechanical_looseness,mechanical_looseness,0.9999892711639404,0.9999892711639404,0.99609375
