,-277,803,272
8500,-105,-732,270
8505,-105,-732,270
8510,320,-605,333
8515,-290,691,229
8520,-97,551,265
8525,-79,-630,281
8530,227,-600,304
8535,-203,637,243
8540,-142,684,232
8545,-52,-535,334
8550,223,-691,278
8555,-177,491,239
8560,-145,753,236
8565,45,-461,339
8570,150,-720,263
8575,-97,345,248
8580,-141,852,247
8585,89,-267,194
8590,53,-895,204
8595,-12,192,267
8600,-203,863,241
8605,91,-176,194
8610,-4,-936,174
8615,8,-12,252
8620,-193,929,233
8625,43,9,246
8630,-46,-1024,157
8635,215,-232,331
8640,-285,886,251
8645,17,159,268
8650,-133,-923,173
8655,176,-409,314
8660,-203,851,275
8665,-44,429,265
8670,-143,-744,256
8675,290,-567,314
8680,-298,653,229
8685,-109,603,242
8690,-59,-536,309
8695,190,-654,285
8700,-147,422,241
8705,-136,748,249
8710,78,-345,246
8715,109,-840,214
8720,-38,164,234
8725,-184,844,243
8730,71,-129,206
8735,-21,-934,165
8740,91,-171,271
8745,-221,912,243
8750,-12,230,251
8755,-152,-914,166
8760,219,-398,275
8765,-311,743,241
8770,-42,456,265
8775,-42,456,265
8780,-98,-664,280
8785,221,-577,315
8790,-186,510,245
8795,-105,717,257
8800,63,-357,269
8805,98,-836,217
8810,-21,91,254
8815,-190,846,233
8820,43,31,271
8825,-69,-961,170
8830,194,-410,313
8835,-231,776,256
8840,-38,486,242
8845,-145,-606,279
8850,213,-644,291
8855,-180,391,239
8860,-99,779,261
8865,45,-150,228
8870,10,-871,182
8875,129,-233,295
8880,-220,832,245
8885,-24,386,230
8890,-149,-666,253
8895,206,-604,296
8900,-202,391,237
8905,-68,761,257
8910,16,-111,250
8915,-20,-890,165
8920,158,-294,304
8925,-208,785,249
8930,-43,427,244
8935,-147,-589,264
8940,189,-682,274
8945,-173,236,232
8950,-114,812,242
8955,25,-8,273
8960,-78,-926,160
8965,178,-384,299
8970,-219,768,260
8975,-35,502,244
8980,-134,-525,289
8985,168,-680,252
8990,-142,153,224
8995,-136,832,246
9000,23,43,268
9005,-94,-936,168
9010,198,-402,297
9015,-238,764,265
[FEATURES] f0=-36065 f1=138829 f2=143437 f3=-311000 f4=320000 f5=631000 f6=113015 f7=-34715 f8=653902 f9=654823 f10=-1024000 f11=955000 f12=1979000 f13=560965 f14=242875 f15=43498 f16=246739 f17=154000 f18=339000 f19=185000 f20=33500
[SCALED_FEATURES] f0=-1300 f1=1470 f2=1528 f3=-1996 f4=2489 f5=2286 f6=1377 f7=-3709 f8=2783 f9=2793 f10=-3195 f11=2839 f12=3022 f13=2583 f14=-1628 f15=-136 f16=-758 f17=-194 f18=-143 f19=14 f20=-211
[FEATURES_X] mean=-36065 std=138829 rms=143437 min=-311000 max=320000 p2p=631000 mad=113015
[FEATURES_Y] mean=-34715 std=653902 rms=654823 min=-1024000 max=955000 p2p=1979000 mad=560965
[FEATURES_Z] mean=242875 std=43498 rms=246739 min=154000 max=339000 p2p=185000 mad=33500
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-9974,13276,-5435,2133]
[CLASS_STATS] condition=rotor_unbalance total_windows=9
predicted_count=[0,9,0,0]
correct_windows=9
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=0 total_cycle_ms=969
9121,-40,-384,309
9123,80,-713,241
9126,80,-713,241
9128,23,-91,258
9131,23,-91,258
9133,-171,823,246
9136,-171,823,246
9138,-18,287,263
9141,-18,287,263
9143,-163,-791,201
9146,-163,-791,201
9149,243,-490,300
9151,243,-490,300
9154,-160,489,256
9156,-160,489,256
9159,-70,663,226
9161,-70,663,226
9164,17,-294,226
9166,17,-294,226
9169,35,-808,206
9171,35,-808,206
9174,150,-137,294
9176,150,-137,294
9179,-236,809,236
9182,-236,809,236
9184,-10,296,267
9187,-10,296,267
9189,-165,-745,219
9192,-165,-745,219
9194,227,-516,305
9197,227,-516,305
9200,-205,480,256
9202,-205,480,256
9205,-79,729,232
9207,-79,729,232
9210,32,-201,206
9212,32,-201,206
9215,3,-865,189
9217,3,-865,189
9219,125,-291,304
9222,125,-291,304
9225,-233,797,251
9230,2,385,248
9235,-164,-641,260
9240,212,-591,305
9245,-164,369,250
9250,-83,725,231
9255,22,-173,219
9260,-20,-895,167
9265,193,-280,330
9270,-265,784,250
9275,-1,405,247
9280,-149,-645,264
9285,199,-592,309
9290,-159,377,252
9295,-114,774,234
9300,29,-169,200
9305,43,-918,179
9310,43,-918,179
9315,140,-307,307
9320,-237,834,262
9325,-4,380,267
9330,-152,-728,238
9335,237,-524,321
9340,-218,531,251
9345,-91,703,253
9350,49,-358,262
9355,123,-878,209
9360,16,-59,240
9365,-209,866,241
9370,42,130,287
9375,-118,-924,172
9380,244,-405,287
9385,-259,820,275
9390,-53,512,249
9395,-137,-657,277
9400,239,-586,297
9405,-196,418,255
9410,-101,748,249
9415,78,-268,219
9420,47,-846,205
9425,10,28,253
9430,-205,865,225
9435,42,77,274
9440,-83,-902,174
9445,208,-404,293
9450,-266,794,266
9455,-27,457,259
9460,-124,-650,270
9465,222,-592,312
9470,-170,442,247
9475,-93,695,236
9480,43,-284,227
9485,76,-846,202
9490,65,-129,260
9495,-216,853,255
9500,13,234,277
9505,-143,-849,172
9510,226,-425,290
9515,-241,738,264
9520,-60,585,239
9525,-125,-512,312
9530,166,-688,245
9535,-91,223,241
9540,-175,828,230
9545,48,-67,232
9550,-60,-921,165
9555,173,-298,300
9560,-281,914,265
9565,-9,392,268
9570,-153,-755,239
9575,-153,-755,239
9580,274,-486,317
9585,-256,582,254
9590,-59,646,268
9595,14,-413,322
9600,102,-773,231
9605,-44,137,242
9610,-159,842,225
9615,46,-16,265
9620,-14,-946,165
9625,178,-386,302
9630,-261,832,278
9635,10,397,249
9640,-149,-724,234
9645,236,-533,320
9650,-230,624,251
9655,-87,630,250
9660,-52,-461,338
9665,162,-718,242
9670,-67,193,253
9675,-180,833,228
9680,48,-86,215
9685,-28,-963,157
9690,146,-213,287
9695,-207,910,272
9700,0,291,272
9705,-170,-878,191
9710,237,-442,293
9715,-279,720,253
9720,-52,547,256
9725,-99,-576,295
9730,195,-639,290
9735,-153,417,242
9740,-98,742,254
9745,80,-290,227
9750,85,-828,212
9755,-10,-1,243
9760,-195,859,238
9765,72,-9,261
9770,-65,-970,157
9775,181,-291,295
9780,-238,907,279
9785,-9,348,268
9790,-170,-800,201
9795,246,-459,305
9800,-288,700,249
9805,-57,566,258
9810,-69,-547,312
9815,189,-639,283
9820,-139,411,245
9825,-156,753,237
9830,73,-304,225
9835,75,-842,207
9840,75,-842,207
9845,14,42,252
9850,-228,864,228
9855,65,-42,238
9860,-63,-984,164
9865,163,-227,289
9870,-252,925,268
9875,-3,280,269
9880,-192,-841,177
9885,232,-423,304
9890,-265,778,265
9895,-32,474,267
9900,-98,-644,285
9905,220,-587,310
9910,-187,560,248
9915,-111,662,220
9920,11,-451,329
9925,158,-705,239
9930,-87,254,255
9935,-158,839,243
9940,73,-173,195
9945,-24,-894,175
9950,40,-16,257
9955,-200,915,246
9960,58,43,271
9965,-68,-983,171
9970,190,-373,300
9975,-268,860,268
9980,-1,336,260
9985,-142,-815,216
9990,214,-470,311
9995,-234,728,252
10000,-71,512,277
10005,-109,-627,277
10010,225,-582,297
10015,-179,475,244
[FEATURES] f0=-29505 f1=146530 f2=149471 f3=-288000 f4=274000 f5=562000 f6=122810 f7=-41750 f8=613106 f9=614526 f10=-984000 f11=925000 f12=1909000 f13=551097 f14=250935 f15=38446 f16=253863 f17=157000 f18=338000 f19=181000 f20=29717
[SCALED_FEATURES] f0=-431 f1=1619 f2=1657 f3=-1726 f4=1981 f5=1888 f6=1601 f7=-4663 f8=2544 f9=2555 f10=-3024 f11=2717 f12=2875 f13=2519 f14=-710 f15=-223 f16=-497 f17=-157 f18=-153 f19=-9 f20=-283
[FEATURES_X] mean=-29505 std=146530 rms=149471 min=-288000 max=274000 p2p=562000 mad=122810
[FEATURES_Y] mean=-41750 std=613106 rms=614526 min=-984000 max=925000 p2p=1909000 mad=551097
[FEATURES_Z] mean=250935 std=38446 rms=253863 min=157000 max=338000 p2p=181000 mad=29717
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-8612,12486,-3052,-822]
[CLASS_STATS] condition=rotor_unbalance total_windows=10
predicted_count=[0,10,0,0]
correct_windows=10
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=1 total_cycle_ms=969
10121,-171,525,251
10124,-171,525,251
10126,-141,679,212
10129,-141,679,212
10132,24,-448,327
10134,24,-448,327
10137,164,-713,240
10139,164,-713,240
10142,-92,266,251
10145,-92,266,251
10147,-162,846,246
10150,-162,846,246
10152,93,-195,194
10155,93,-195,194
10158,-3,-900,177
10160,-3,-900,177
10163,19,42,256
10165,19,42,256
10168,-198,904,238
10170,-198,904,238
10173,54,-25,250
10175,54,-25,250
10178,-39,-1002,163
10181,-39,-1002,163
10183,134,-277,287
10186,134,-277,287
10189,-267,866,250
10191,-267,866,250
10194,31,167,275
10196,31,167,275
10199,-174,-869,185
10202,-174,-869,185
10204,209,-378,325
10207,209,-378,325
10210,-210,861,275
10212,-210,861,275
10215,-39,394,263
10218,-141,-747,239
10220,-141,-747,239
10223,245,-433,316
10226,245,-433,316
10228,-263,713,255
10231,-263,713,255
10235,-77,549,265
10240,-66,-574,302
10245,195,-612,299
10250,-172,554,253
10255,-147,670,208
10260,-28,-500,332
10265,215,-666,261
10270,-159,336,238
10275,-148,774,223
10280,102,-356,273
10285,80,-796,214
10290,-57,265,242
10295,-161,856,245
10300,88,-228,189
10305,50,-912,191
10310,-30,163,238
10315,-198,875,265
10320,99,-227,194
10325,22,-926,203
10330,-33,169,256
10335,-195,922,256
10340,87,-200,187
10345,0,-964,185
10350,24,167,264
10355,-219,868,237
10360,92,-239,176
10365,26,-944,188
10370,26,-944,188
10375,-32,157,255
10380,-201,915,248
10385,80,-180,192
10390,6,-1011,176
10395,1,184,282
10400,-227,897,247
10405,96,-251,174
10410,15,-953,189
10415,-22,167,254
10420,-196,953,260
10425,83,-199,191
10430,-14,-997,183
10435,7,194,272
10440,-228,895,233
10445,99,-278,182
10450,33,-932,198
10455,-48,207,253
10460,-175,924,249
10465,102,-254,209
10470,-1,-965,198
10475,-37,280,261
10480,-185,848,231
10485,109,-357,223
10490,75,-869,220
10495,-62,312,257
10500,-149,922,245
10505,104,-307,245
10510,60,-916,216
10515,-82,355,248
10520,-164,783,213
10525,94,-453,301
10530,110,-789,252
10535,-96,372,245
10540,-143,863,228
10545,92,-419,307
10550,97,-850,241
10555,-100,431,235
10560,-152,736,220
10565,50,-498,336
10570,146,-739,268
10575,-128,450,248
10580,-144,798,237
10585,60,-472,341
10590,135,-795,247
10595,-135,498,240
10600,-119,743,231
10605,27,-532,336
10610,176,-701,263
10615,-143,523,243
10620,-140,815,235
10625,32,-513,346
10630,176,-738,258
10635,-172,563,247
10640,-172,563,247
10645,-116,701,235
10650,-14,-547,324
10655,203,-679,274
10660,-194,578,232
10665,-138,784,251
10670,10,-551,334
10675,205,-703,273
10680,-198,642,249
10685,-136,665,257
10690,-27,-583,297
10695,198,-640,292
10700,-209,651,252
10705,-110,675,249
10710,-15,-614,299
10715,228,-639,302
10720,-249,713,240
10725,-80,590,282
10730,-26,-609,275
10735,202,-597,311
10740,-217,684,251
10745,-86,602,261
10750,-43,-612,298
10755,240,-628,300
10760,-259,683,239
10765,-97,613,283
10770,-24,-591,288
10775,201,-617,297
10780,-209,602,236
10785,-105,672,234
10790,-19,-535,336
10795,208,-692,269
10800,-176,570,243
10805,-114,678,223
10810,7,-495,334
10815,171,-710,262
10820,-126,395,233
10825,-132,812,244
10830,102,-352,248
10835,91,-844,219
10840,-36,300,262
10845,-167,867,240
10850,112,-267,198
10855,24,-917,194
10860,-17,90,243
10865,-193,905,232
10870,52,-87,212
10875,-56,-1008,163
10880,133,-112,300
10885,-260,926,232
10890,36,-11,224
10895,-21,-1015,155
10900,109,-212,290
10905,109,-212,290
10910,-247,979,242
10915,27,123,272
10920,-94,-1024,164
10925,250,-325,308
10930,-311,917,256
10935,63,80,297
10940,-91,-985,178
10945,151,-303,307
10950,-234,924,260
10955,18,131,299
10960,-105,-961,177
10965,192,-338,332
10970,-293,911,243
10975,49,97,304
10980,-50,-983,178
10985,126,-224,306
10990,-238,959,250
10995,37,72,271
11000,-69,-1024,162
11005,169,-197,289
11010,-288,936,235
11015,67,-76,225
[FEATURES] f0=-29500 f1=138151 f2=141265 f3=-311000 f4=250000 f5=561000 f6=117115 f7=-11870 f8=650931 f9=651039 f10=-1024000 f11=979000 f12=2003000 f13=583272 f14=248655 f15=42679 f16=252291 f17=155000 f18=346000 f19=191000 f20=32521
[SCALED_FEATURES] f0=-431 f1=1457 f2=1481 f3=-1996 f4=1716 f5=1882 f6=1471 f7=-611 f8=2766 f9=2771 f10=-3195 f11=2937 f12=3072 f13=2728 f14=-970 f15=-150 f16=-555 f17=-182 f18=-68 f19=49 f20=-230
[FEATURES_X] mean=-29500 std=138151 rms=141265 min=-311000 max=250000 p2p=561000 mad=117115
[FEATURES_Y] mean=-11870 std=650931 rms=651039 min=-1024000 max=979000 p2p=2003000 mad=583272
[FEATURES_Z] mean=248655 std=42679 rms=252291 min=155000 max=346000 p2p=191000 mad=32521
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-7970,12990,-1312,-3706]
[CLASS_STATS] condition=rotor_unbalance total_windows=11
predicted_count=[0,11,0,0]
correct_windows=11
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=1 total_cycle_ms=969
11121,144,-804,240
11123,144,-804,240
11126,-100,510,248
11129,-100,510,248
11131,-160,723,212
11134,-160,723,212
11137,20,-522,338
11139,20,-522,338
11142,164,-718,256
11145,164,-718,256
11147,-149,524,239
11150,-149,524,239
11153,-146,783,228
11155,51,-517,344
11158,51,-517,344
11160,189,-735,252
11163,189,-735,252
11166,-174,588,241
11168,-174,588,241
11171,-137,668,228
11174,-137,668,228
11176,-18,-550,310
11179,-18,-550,310
11182,191,-669,263
11184,191,-669,263
11187,-171,552,239
11190,-171,552,239
11192,-119,748,231
11195,-119,748,231
11198,28,-524,346
11200,28,-524,346
11203,192,-720,265
11205,192,-720,265
11208,-182,576,246
11211,-182,576,246
11213,-126,669,227
11216,-126,669,227
11219,-8,-540,318
11221,-8,-540,318
11224,183,-686,263
11226,183,-686,263
11229,-166,547,242
11232,-138,776,225
11235,-138,776,225
11240,21,-512,346
11245,179,-734,260
11250,-163,563,239
11255,-128,712,219
11260,2,-532,327
11265,171,-703,266
11270,-155,524,243
11275,-138,778,229
11280,53,-497,349
11285,148,-753,259
11290,-140,530,237
11295,-135,702,213
11300,5,-522,335
11305,157,-704,268
11310,-138,482,244
11315,-144,800,228
11320,65,-474,343
11325,129,-769,255
11330,-140,488,240
11335,-149,727,219
11340,49,-491,334
11345,160,-745,270
11350,-127,445,246
11355,-149,830,234
11360,74,-440,327
11365,114,-807,248
11370,-116,445,244
11375,-135,771,231
11380,81,-460,319
11385,131,-787,257
11390,-104,369,242
11395,-144,854,250
11400,100,-360,259
11405,77,-880,224
11410,-44,334,261
11415,-152,828,244
11420,112,-372,255
11425,81,-850,230
11430,-79,247,244
11435,-79,247,244
11440,-159,914,255
11445,95,-234,191
11450,20,-964,182
11455,-7,201,272
11460,-202,861,244
11465,93,-198,187
11470,14,-933,173
11475,-4,62,256
11480,-195,929,233
11485,53,-100,200
11490,-56,-1003,160
11495,125,-50,291
11500,-236,921,235
11505,34,-45,216
11510,-34,-1007,156
11515,92,-165,280
11520,-233,936,247
11525,19,91,277
11530,-127,-963,175
11535,221,-333,302
11540,-284,881,262
11545,10,243,301
11550,-117,-907,193
11555,197,-446,326
11560,-222,854,275
11565,-36,429,255
11570,-124,-748,251
11575,228,-527,321
11580,-289,716,233
11585,-107,554,259
11590,-64,-638,285
11595,223,-601,298
11600,-201,583,245
11605,-91,664,219
11610,6,-477,344
11615,163,-744,257
11620,-123,365,232
11625,-122,792,251
11630,98,-312,214
11635,57,-851,212
11640,-42,130,244
11645,-180,903,232
11650,57,-97,219
11655,-39,-1014,158
11660,177,-153,322
11665,-275,908,245
11670,26,98,266
11675,-107,-950,176
11680,182,-372,314
11685,-223,878,274
11690,-32,396,274
11695,-135,-771,241
11700,-135,-771,241
11705,188,-530,317
11710,-299,681,234
11715,-112,579,241
11720,-74,-567,296
11725,222,-622,302
11730,-163,466,246
11735,-128,735,244
11740,77,-347,261
11745,110,-825,217
11750,-19,220,256
11755,-151,818,233
11760,78,-173,193
11765,-1,-934,162
11770,72,-120,266
11775,-230,928,238
11780,35,149,262
11785,-115,-963,171
11790,203,-406,284
11795,-286,819,269
11800,4,395,287
11805,-122,-755,218
11810,221,-515,302
11815,-239,705,256
11820,-84,648,229
11825,-90,-545,307
11830,224,-686,293
11835,-170,423,235
11840,-123,757,237
11845,78,-378,291
11850,108,-786,242
11855,-46,204,254
11860,-176,870,227
11865,56,-127,200
11870,-8,-956,161
11875,114,-62,313
11880,-273,920,235
11885,46,22,242
11890,-40,-988,164
11895,158,-281,299
11900,-244,932,267
11905,-20,249,282
11910,-171,-868,193
11915,321,-449,298
11920,-269,798,257
11925,-9,417,278
11930,-119,-752,241
11935,220,-526,299
11940,-232,741,248
11945,-92,590,250
11950,-94,-622,282
11955,243,-639,303
11960,-230,615,235
11965,-120,682,223
11970,-120,682,223
11975,-12,-548,307
11980,212,-654,285
11985,-168,519,248
11990,-125,729,220
11995,69,-480,333
12000,178,-761,245
12005,-113,487,250
12010,-159,732,235
12015,48,-494,345
[FEATURES] f0=-27870 f1=141602 f2=144319 f3=-299000 f4=321000 f5=620000 f6=122515 f7=-13000 f8=643178 f9=643310 f10=-1014000 f11=936000 f12=1950000 f13=597560 f14=255080 f15=42214 f16=258549 f17=156000 f18=349000 f19=193000 f20=32122
[SCALED_FEATURES] f0=-215 f1=1524 f2=1547 f3=-1855 f4=2500 f5=2223 f6=1595 f7=-765 f8=2720 f9=2725 f10=-3152 f11=2762 f12=2961 f13=2820 f14=-239 f15=-158 f16=-326 f17=-170 f18=-36 f19=60 f20=-237
[FEATURES_X] mean=-27870 std=141602 rms=144319 min=-299000 max=321000 p2p=620000 mad=122515
[FEATURES_Y] mean=-13000 std=643178 rms=643310 min=-1014000 max=936000 p2p=1950000 mad=597560
[FEATURES_Z] mean=255080 std=42214 rms=258549 min=156000 max=349000 p2p=193000 mad=32122
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-8227,12609,-376,-4005]
[CLASS_STATS] condition=rotor_unbalance total_windows=12
predicted_count=[0,12,0,0]
correct_windows=12
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=1 total_cycle_ms=969
12121,192,-521,353
12123,-277,857,249
12126,-277,857,249
12129,-45,324,254
12131,-45,324,254
12134,-76,-908,192
12137,-76,-908,192
12139,154,-309,321
12142,154,-309,321
12145,-214,938,260
12147,-214,938,260
12150,-9,123,274
12152,-9,123,274
12155,-28,-1007,167
12158,-28,-1007,167
12160,135,-186,292
12163,135,-186,292
12166,-281,934,233
12168,-281,934,233
12171,50,-53,221
12173,50,-53,221
12176,-3,-1024,168
12179,-3,-1024,168
12181,4,-8,271
12184,4,-8,271
12186,-226,938,240
12189,-226,938,240
12191,38,-190,163
12194,38,-190,163
12196,-22,-1024,165
12199,-22,-1024,165
12202,-6,180,282
12204,-6,180,282
12207,-210,907,249
12209,-210,907,249
12212,89,-300,198
12215,89,-300,198
12217,64,-906,223
12220,64,-906,223
12222,-77,298,258
12225,-77,298,258
12228,-164,867,244
12230,120,-370,258
12235,120,-370,258
12240,80,-896,234
12245,-95,438,252
12250,-172,767,203
12255,23,-515,334
12260,148,-723,272
12265,-137,508,243
12270,-149,787,226
12275,30,-531,361
12280,167,-741,253
12285,-167,577,243
12290,-107,688,239
12295,-14,-571,302
12300,194,-674,274
12305,-186,580,232
12310,-137,760,236
12315,10,-533,343
12320,189,-684,269
12325,-186,608,239
12330,-102,671,239
12335,-19,-549,308
12340,202,-665,276
12345,-153,543,244
12350,-139,781,221
12355,37,-469,350
12360,153,-754,254
12365,-121,503,253
12370,-165,747,210
12375,40,-501,342
12380,159,-752,259
12385,-115,446,245
12390,-145,817,222
12395,92,-442,317
12400,130,-809,235
12405,-126,441,236
12410,-128,737,239
12415,75,-481,331
12420,137,-754,255
12425,-102,374,248
12430,-147,838,248
12435,111,-403,285
12440,88,-852,233
12445,-91,339,237
12450,-126,783,260
12455,96,-388,274
12460,95,-838,244
12465,-75,296,259
12470,-151,876,252
12475,100,-274,211
12480,14,-953,199
12485,-42,198,241
12490,-181,826,231
12495,62,-201,178
12500,62,-201,178
12505,26,-931,177
12510,-36,19,253
12515,-186,890,233
12520,31,-58,219
12525,-54,-1024,154
12530,140,-139,326
12535,-272,911,248
12540,39,31,252
12545,-74,-1024,173
12550,141,-287,291
12555,-220,908,264
12560,-25,241,287
12565,-165,-868,199
12570,176,-334,294
12575,-264,802,257
12580,-3,403,281
12585,-101,-740,247
12590,207,-516,308
12595,-231,717,253
12600,-84,566,233
12605,-84,-591,290
12610,224,-645,300
12615,-209,465,242
12620,-100,699,236
12625,27,-405,321
12630,137,-714,245
12635,-75,252,255
12640,-140,836,233
12645,46,-125,201
12650,-7,-940,165
12655,105,-98,313
12660,-258,897,241
12665,43,94,267
12670,-98,-948,167
12675,173,-397,305
12680,-218,833,276
12685,-56,455,246
12690,-135,-716,258
12695,312,-610,320
12700,-276,542,232
12705,-95,667,242
12710,7,-416,324
12715,108,-740,244
12720,-81,178,244
12725,-132,861,224
12730,43,-53,256
12735,-57,-979,174
12740,170,-290,319
12745,-246,840,263
12750,-14,367,248
12755,-144,-747,231
12760,233,-530,316
12765,233,-530,316
12770,-217,593,245
12775,-57,664,259
12780,17,-413,315
12785,119,-805,235
12790,-87,64,221
12795,-144,825,237
12800,26,30,271
12805,-94,-936,164
12810,208,-380,298
12815,-247,831,265
12820,-44,469,249
12825,-129,-677,265
12830,238,-540,307
12835,-212,423,259
12840,-79,735,241
12845,52,-211,214
12850,22,-867,185
12855,89,-94,265
12860,-224,899,249
12865,24,214,272
12870,-130,-901,176
12875,238,-449,287
12880,-272,760,258
12885,-37,538,268
12890,-118,-572,300
12895,209,-636,294
12900,-173,385,234
12905,-156,781,246
12910,78,-266,207
12915,83,-838,204
12920,8,5,251
12925,-203,851,241
12930,61,-34,236
12935,-50,-1022,158
12940,164,-252,299
12945,-252,923,267
12950,-4,254,250
12955,-163,-864,185
12960,233,-433,313
12965,-243,804,269
12970,-9,446,256
12975,-106,-691,257
12980,208,-526,322
12985,-224,719,255
12990,-80,556,251
12995,-91,-629,275
13000,241,-550,311
13005,-232,590,253
13010,-120,677,263
13015,-14,-526,325
[FEATURES] f0=-30040 f1=139658 f2=142852 f3=-281000 f4=312000 f5=593000 f6=117220 f7=-22240 f8=642276 f9=642661 f10=-1024000 f11=938000 f12=1962000 f13=574230 f14=251160 f15=43322 f16=254868 f17=154000 f18=361000 f19=207000 f20=32273
[SCALED_FEATURES] f0=-502 f1=1486 f2=1515 f3=-1644 f4=2401 f5=2067 f6=1473 f7=-2018 f8=2715 f9=2721 f10=-3195 f11=2770 f12=2986 f13=2669 f14=-685 f15=-139 f16=-460 f17=-194 f18=92 f19=142 f20=-234
[FEATURES_X] mean=-30040 std=139658 rms=142852 min=-281000 max=312000 p2p=593000 mad=117220
[FEATURES_Y] mean=-22240 std=642276 rms=642661 min=-1024000 max=938000 p2p=1962000 mad=574230
[FEATURES_Z] mean=251160 std=43322 rms=254868 min=154000 max=361000 p2p=207000 mad=32273
[CLASS] CLASS=rotor_unbalance ID=1 scores_x1000=[-8045,12916,-1878,-2992]
[CLASS_STATS] condition=rotor_unbalance total_windows=13
predicted_count=[0,13,0,0]
correct_windows=13
accuracy_x1000=1000
current_prediction=1
[CLASS_TIMING] sample_interval_ms=5 window_acquisition_ms=894 feature_extract_ms=8 inference_ms=1 total_cycle_ms=969
13121,-13,-633,285
13124,213,-562,311
13126,213,-562,311
13129,-196,725,285
13132,-196,725,285
13134,-82,548,260
13137,-82,548,260
13140,-16,-715,269
13142,-16,-715,269
13145,158,-474,355
13147,158,-474,355
13150,-214,872,271
13153,-23,410,259
13155,-23,410,259
13158,-60,-873,222
13161,-60,-873,222
13163,180,-397,340
13166,180,-397,340
13169,-213,875,275
13171,-213,875,275
13174,-13,287,259
13176,-13,287,259
13179,-43,-893,200
13182,-43,-893,200
13184,109,-280,304
13187,109,-280,304
13190,-211,903,272
13192,-211,903,272
13195,-5,109,282
13197,-5,109,282
13200,-75,-954,173
13203,-75,-954,173
13205,176,-319,308
13208,176,-319,308
13211,-229,884,263
13213,-229,884,263
13216,23,175,284
13218,23,175,284
13221,-118,-891,196
13224,-118,-891,196
13226,163,-358,315
13229,163,-358,315
13232,-215,877,275
13235,-43,295,274
13240,-116,-862,199
13245,226,-450,325
13250,-232,811,273
13255,-37,464,247
13260,-84,-690,251
13265,212,-543,312
13270,-224,644,237
13275,-107,612,218
13280,-73,-555,297
13285,200,-622,267
13290,-164,402,248
13295,-117,767,277
13300,-117,767,277
13305,100,-294,244
13310,40,-844,209
13315,-26,114,246
13320,-162,889,230
13325,48,-32,269
13330,-49,-954,166
13335,174,-362,300
13340,-247,855,261
13345,11,335,257
13350,-158,-773,225
13355,220,-504,314
13360,-247,619,241
13365,-85,641,254
13370,-41,-449,337
13375,130,-719,234
13380,-77,148,234
13385,-146,813,249
13390,29,9,269
13395,-88,-917,158
13400,182,-390,310
13405,-218,759,271
13410,-29,464,229
13415,-137,-587,272
13420,177,-624,263
13425,-162,273,240
13430,-98,787,249
13435,-4,-21,254
13440,-65,-888,156
13445,163,-373,312
13450,-248,736,264
13455,-16,504,264
13460,-113,-499,290
13465,161,-643,262
13470,-105,74,231
13475,-102,783,266
13480,-43,197,267
13485,-99,-786,192
13490,214,-454,293
13495,-217,485,248
13500,-28,654,247
13505,-7,-114,281
13510,-26,-818,179
13515,146,-333,319
13520,-200,659,259
13525,-7,441,247
13530,-99,-394,282
13535,78,-649,244
13540,-37,-31,242
13545,-121,713,239
13550,-20,237,236
13555,-150,-636,225
13560,197,-542,282
13565,197,-542,282
13570,-197,260,240
13575,-35,658,230
13580,-43,67,250
13585,-90,-728,184
13590,159,-399,293
13595,-124,352,257
13600,33,572,248
13605,-76,-36,257
13610,-55,-706,189
13615,111,-322,306
13620,-184,452,255
13625,38,507,277
13630,-81,-36,271
13635,-33,-677,196
13640,61,-258,285
13645,-160,473,264
13650,13,491,282
13655,-86,-86,283
13660,0,-652,209
13665,37,-234,273
13670,-150,432,248
13675,13,420,258
13680,-73,-85,284
13685,18,-649,208
13690,26,-236,265
13695,-138,529,268
13700,-14,453,272
13705,-71,-156,326
13710,40,-640,221
13715,-11,-194,257
13720,-135,503,249
13725,-17,385,241
13730,-86,-209,316
13735,65,-643,224
13740,-49,-142,257
13745,-119,619,257
13750,-18,353,241
13755,-117,-341,272
13760,91,-602,237
13765,-57,-77,253
13770,-80,612,234
13775,-40,274,251
13780,-121,-499,262
13785,130,-526,266
13790,-121,61,239
13795,-47,654,235
13800,-83,193,217
13805,-118,-655,210
13810,190,-506,285
13815,-202,332,238
13820,7,666,257
13825,-68,22,264
13830,-68,22,264
13835,-60,-805,171
13840,181,-413,295
13845,-207,580,252
13850,17,585,261
13855,-54,-239,273
13860,40,-765,203
13865,80,-218,292
13870,-197,739,252
